,Unnamed: 0,property_id,address,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
0,0,517036,10110 120 STREET NW,Find Your Zen at Citizen on Jasper,10110 120 STREET NW,1,1.0,469,1480,Rent,Apartment,garage,shared,True,True,53.5412895,-113.5292479,2000-01-01,False,True,False,True
1,1,470242,10045 111 Street NW,E11EVEN APARTMENTS - Leasing for August & September! ,10045 111 Street NW,studio,1.0,1029,1390,Rent,Apartment,underground,in_suite,True,True,53.5401546,-113.5115349,2000-01-01,False,False,True,True
2,2,460758,10043 108  Northwest Street,CAPITAL APARTMENTS - DOWNTOWN EDMONTON PET FRIENDLY LIVING - SUMMER INCENTIVES*,10043 108  Northwest Street,studio,1.0,1105,1299,Rent,Apartment,underground,shared,True,True,53.5399968,-113.5063117,2000-01-01,False,False,True,False
3,3,377693,10141 124 Street Northwest,The MacLaren,10141 124 Street Northwest,1,1.0,1065,1509,Rent,Apartment,outdoor,in_suite,True,True,53.5428264,-113.5355289,2000-01-01,False,True,False,False
4,4,437811,8122 106 ST NW,Premium Rental Living on Whyte Ave. Where Home & Life Connect.,8122 106 ST NW,1,1.0,1052,1754,Rent,Apartment,garage,in_suite,False,True,53.5177227,-113.5034953,2000-01-01,False,True,True,False
5,5,478186,8455 106A Ave NW,Brand New Apartments In Downtown Edmonton | Stadium Yards,8455 106A Ave NW,1,1.0,500,1315,Rent,Apartment,underground,in_suite,False,True,53.556874042637,-113.47157111639,2000-01-01,False,True,False,True
6,6,478189,10954 84 Street Northwest,Pet Friendly Apartments For Rent In Downtown Edmonton | Stadium Yards,10954 84 Street Northwest,studio,1.0,1057,1315,Rent,Apartment,underground,shared,True,True,53.5572645,-113.4711661,2000-01-01,False,False,False,True
7,7,466212,11025 26 Ave N.W.,Brand New Luxury Apartments,11025 26 Ave N.W.,1,1.0,1156,1450,Rent,Apartment,garage,shared,True,True,53.455970268895,-113.51459525035,2000-01-01,False,True,False,True
8,8,500648,8155 105 St NW,Raymond Block,8155 105 St NW,1,1.0,563,1515,Rent,Apartment,garage,in_suite,False,True,53.517930643595,-113.50028001349,2000-01-01,False,False,False,False
9,9,476157,10022 – 110 Street NW,CX,10022 – 110 Street NW,studio,1.0,1311,1149,Rent,Apartment,underground,shared,False,True,53.5395795,-113.5106424,2000-01-01,False,False,False,True
10,10,455426,200-255 & 300-391 Huntington Hill NW,HUNTINGTON COURT COACHHOMES,200-255 & 300-391 Huntington Hill NW,2,1.0,1148,1295,Rent,Townhouse,covered,shared,True,True,53.485090720822,-113.49679622989,2000-01-01,False,False,False,False
11,11,433936,11020 Jasper Ave.,Jasper One Eleven,11020 Jasper Ave.,studio,1.0,,1383,Rent,Apartment,underground,in_suite,True,True,53.540962,-113.511584,2000-01-01,False,False,True,False
12,12,433937,10145 121st Street,Signature Place,10145 121st Street,studio,1.0,0,1043,Rent,Apartment,covered,in_suite,False,True,53.542243,-113.53047,2000-01-01,False,True,False,False
13,13,358143,8217 130 Ave,DELTON TOWNHOMES,8217 130 Ave,2,1.0,1064,1249,Rent,Townhouse,underground,in_suite,False,True,53.5890269,-113.4684235,2000-01-01,False,True,False,True
14,14,454900,5016 & 5008 4 Ave SW,AVALON COURT,5016 & 5008 4 Ave SW,2,2.0,1020,1615,Rent,Apartment,covered,shared,False,True,53.4294066,-113.4203601,2000-01-01,False,True,True,True
15,15,433938,8128 102 Street NW,The Station on Whyte,8128 102 Street NW,1,1.0,0,1616,Rent,Apartment,garage,shared,True,True,53.534092,-113.495612,2000-01-01,False,False,True,False
16,16,478151,10542 45 Avenue NW,SOUTH RIDGE TOWNHOMES,10542 45 Avenue NW,3,1.5,1232,1524,Rent,Townhouse,garage,in_suite,True,True,53.4831757,-113.5036568,2000-01-01,False,False,False,True
17,17,260207,10525 156 Street,Look no further for your new home!,10525 156 Street,studio,1.0,,825,Rent,Apartment,outdoor,in_suite,False,True,53.5488594,-113.5898632,2000-01-01,False,True,False,True
18,18,455425,1-89 Huntington Hill NW,HUNTINGTON TOWNHOMES,1-89 Huntington Hill NW,2,1.0,1003,1395,Rent,Townhouse,garage,in_suite,False,True,53.485211,-113.498257,2000-01-01,False,True,True,False
19,19,455310,1102 Hermitage Road,CHRISTOPHER COUNTY,1102 Hermitage Road,1,1.0,1003,1074,Rent,Apartment,outdoor,shared,True,True,53.582952799621,-113.39319958836,2000-01-01,False,True,True,False
20,20,362139,10127 121st Street,The Pinnacle | OLIVER - JASPER AVE & 121 ST ,10127 121st Street,1,1.0,675,1275,Rent,Apartment,underground,shared,True,True,53.5415981,-113.5301961,2000-01-01,False,False,False,False
21,21,490091,10310 96 Avenue NW,Rossdale Apartments 2,10310 96 Avenue NW,1,1.0,612,999,Rent,Apartment,underground,in_suite,False,True,53.532675,-113.498712,2000-01-01,False,False,True,True
22,22,492104,9723 105 Street NW,Heritage Trail Apartments 2,9723 105 Street NW,studio,1.0,400,729,Rent,Apartment,garage,shared,True,True,53.5348032,-113.5005775,2000-01-01,False,True,True,False
23,23,455312,"350, 354 & 358 Hooper Crescent",DURHAM COUNTY,"350, 354 & 358 Hooper Crescent",1,1.0,744,1099,Rent,Apartment,covered,in_suite,False,True,53.5855249,-113.392691,2000-01-01,False,False,False,True
24,24,328492,9010 144 Ave NW,Cambridge Manor,9010 144 Ave NW,1,1.0,660,1130,Rent,Apartment,underground,shared,True,True,53.6062221,-113.4797268,2000-01-01,False,False,False,True
25,25,289393,10624 103 Street NW,Mateo Place,10624 103 Street NW,1,1.0,577,829,Rent,Apartment,covered,in_suite,True,True,53.5504019,-113.4977589,2000-01-01,False,False,True,True
26,26,455313,4-8 Hooper Crescent,VICTORIA COUNTY,4-8 Hooper Crescent,1,1.0,785,1099,Rent,Apartment,outdoor,shared,False,True,53.584613938027,-113.38568191482,2000-01-01,False,True,True,False
27,27,477780,8510 111th Street,Garneau Towers Apartments,8510 111th Street,1,1.0,630,1300,Rent,Apartment,underground,shared,True,True,53.521426,-113.517728,2000-01-01,False,False,False,True
