,image_id,image_url,property_id,image_type
0,2000000,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/517036/thumber_8721753.v.efae6fbaf311d59fd39f8ca47d297382.jpg,2000000,outdoor
1,2000001,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/470242/thumber_8914410.v.a420f9c44ba80839ceb05cedb89d8fed.jpg,2000001,indoor
2,2000002,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/460758/thumber_7330292.v.ef5fbfb07e49343940eb5d8f76009342.jpg,2000002,indoor
3,2000003,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/377693/thumber_5728196.v.f713a570e15b70ff811b055d647b3507.jpg,2000003,outdoor
4,2000004,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/437811/thumber_7502350.v.5ba428a6cce7d234d242e1d1a2430b89.jpg,2000004,indoor
5,2000005,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/478186/thumber_7680496.v.874d8f30d246da5e368f120a28246db9.jpg,2000005,indoor
6,2000006,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/478189/thumber_7680607.v.01589c56ce4933c972207aa5666ec768.jpg,2000006,indoor
7,2000007,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/466212/thumber_8844415.v.45d6453312cad88642244daa9f374181.jpg,2000007,indoor
8,2000008,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/500648/thumber_8231884.v.f3f7969556f217036283ab7f8cafe545.jpg,2000008,indoor
9,2000009,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/476157/thumber_7634950.v.f7aa60dbc365dbf8c55300fd508a0f34.jpg,2000009,indoor
10,2000010,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/455426/thumber_8630898.v.1c48af18b42d83fec32435f38aea5782.jpg,2000010,indoor
11,2000011,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/433936/thumber_8929767.v.56059e531f45cba197162d99f0dfd727.jpg,2000011,indoor
12,2000012,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/433937/thumber_8274199.v.375914d24b1e406840bac5f51219202b.jpg,2000012,outdoor
13,2000013,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/358143/thumber_7346308.v.5c86571db81aaa130034cba78b954a81.jpg,2000013,outdoor
14,2000014,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/454900/thumber_8803081.v.a388eef317a4d8c0f5738768e1501f66.jpg,2000014,indoor
15,2000015,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/433938/thumber_8217806.v.51699bb3b26c668aebe6e6f9ab9bfdec.jpg,2000015,outdoor
16,2000016,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/478151/thumber_8574004.v.ecaa327470092b642411119078f89bd9.jpg,2000016,indoor
17,2000017,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/260207/thumber_4143892.v.398dbc8c92143a849c01e29c86e5943d.jpg,2000017,outdoor
18,2000018,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/455425/thumber_8630897.v.3accff707b770909c551f781847f7eca.jpg,2000018,indoor
19,2000019,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/455310/thumber_8535506.v.f2655d3ee660bc2167bfb6f20c469363.jpg,2000019,indoor
20,2000020,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/362139/thumber_7191810.v.6bf76b4c68aa5a6ebcc6fff9b5eb379b.jpg,2000020,indoor
21,2000021,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/490091/thumber_8008681.v.4f6346f4f400868378bb7d73c24b96e6.jpg,2000021,outdoor
22,2000022,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/492104/thumber_8015504.v.6df64b144392b2fefe42fe78dbebf385.jpg,2000022,indoor
